group_id,Output,difference
1,Grasp ,
2,Release,0.0
3,Reach ,0.0
4,Idle,0.0
5,Reach ,0.0
6,Release,0.0
7,Position,0.0
8,Move,0.0
9,Position,0.0
10,Idle,0.0
11,Reach ,0.0
12,Grasp ,0.0
13,Reach ,0.0
14,Grasp ,0.0
15,Reach ,0.0
16,Grasp ,0.0
17,Move,0.0
18,Reach ,0.0
19,Grasp ,0.0
20,Move,0.0
21,Reach ,0.0
22,Move,0.0
23,Grasp ,0.0
24,Reach ,0.0
25,Grasp ,0.0
26,Move,0.0
27,Reach ,0.0
28,Grasp ,0.0
29,Move,0.0
30,Grasp ,0.0
31,Move,0.0
32,Grasp ,0.0
33,Reach ,0.0
34,Grasp ,0.0
35,Reach ,0.0
36,Grasp ,0.0
37,Reach ,0.0
38,Grasp ,0.0
39,Reach ,0.0
40,Release,0.0
41,Grasp ,0.0
42,Reach ,0.0
43,Move,0.0
44,Grasp ,0.0
45,Move,0.0
46,Grasp ,0.0
47,Reach ,0.0
48,Grasp ,0.0
49,Reach ,0.0
50,Grasp ,0.0
51,Move,0.0
52,Grasp ,0.0
53,Move,0.0
54,Grasp ,0.0
55,Move,0.0
56,Grasp ,0.0
57,Move,0.0
58,Grasp ,0.0
59,Move,0.0
60,Grasp ,0.0
61,Release,0.0
62,Reach ,0.0
63,Grasp ,0.0
64,Idle,0.0
65,Move,0.0
66,Grasp ,0.0
67,Reach ,0.0
68,Position,0.0
69,Move,0.0
70,Grasp ,0.0
71,Reach ,0.0
72,Grasp ,0.0
73,Reach ,0.0
74,Grasp ,0.0
75,Reach ,0.0
76,Grasp ,0.0
77,Reach ,0.0
78,Release,0.0
79,Reach ,0.0
80,Release,0.0
81,Reach ,0.0
82,Grasp ,0.0
83,Reach ,0.0
84,Grasp ,0.0
85,Idle,0.0
86,Reach ,0.0
87,Grasp ,0.0
88,Release,0.0
89,Idle,0.0
90,Release,0.0
91,Reach ,0.0
92,Release,0.0
93,Reach ,0.0
