Output,Time (S)
Position,0.03333333333333333
Position,0.1
Position,0.13333333333333333
Grasp ,0.16666666666666666
Grasp ,0.2
Grasp ,0.23333333333333334
Grasp ,0.26666666666666666
Grasp ,0.3
Grasp ,0.3333333333333333
Grasp ,0.36666666666666664
Grasp ,0.4
Grasp ,0.43333333333333335
Grasp ,0.5
Grasp ,0.5333333333333333
Position,0.5666666666666667
Position,0.6
Position,0.6333333333333333
Position,0.6666666666666666
Position,0.7
Position,0.7333333333333333
Position,0.7666666666666667
Position,0.8
Position,0.8333333333333334
Position,0.8666666666666667
Position,0.9
Grasp ,0.9333333333333333
Position,0.9666666666666667
Position,1.0
Grasp ,1.0333333333333334
Grasp ,1.0666666666666667
Grasp ,1.1
Reach ,1.2666666666666666
Position,1.3
Position,1.3333333333333333
Position,1.3666666666666667
Position,1.4
Position,1.4333333333333333
Position,1.4666666666666666
Position,1.5
Position,1.5333333333333334
Position,1.5666666666666667
Position,1.6
Position,1.6333333333333333
Position,1.6666666666666667
Position,1.7
Position,1.7333333333333334
Position,1.7666666666666666
Position,1.8
Position,1.8333333333333333
Position,1.8666666666666667
Position,1.9
Position,1.9333333333333333
Position,1.9666666666666666
Position,2.0
Position,2.033333333333333
Position,2.066666666666667
Position,2.1
Position,2.1333333333333333
Position,2.1666666666666665
Position,2.2
Position,2.2333333333333334
Position,2.2666666666666666
Position,2.3
Position,2.3333333333333335
Position,2.3666666666666667
Position,2.4
Position,2.433333333333333
Position,2.466666666666667
Grasp ,2.5
Position,2.533333333333333
Grasp ,2.566666666666667
Grasp ,2.6
Grasp ,2.6333333333333333
Grasp ,2.6666666666666665
Grasp ,2.7
Grasp ,2.7333333333333334
Grasp ,2.7666666666666666
Grasp ,2.8
Grasp ,2.8333333333333335
Grasp ,2.8666666666666667
Grasp ,2.9
Grasp ,2.933333333333333
Grasp ,2.966666666666667
Position,3.0
Grasp ,3.033333333333333
Grasp ,3.066666666666667
Grasp ,3.1
Grasp ,3.1333333333333333
Grasp ,3.1666666666666665
Grasp ,3.2
Grasp ,3.2333333333333334
Grasp ,3.2666666666666666
Grasp ,3.3
Grasp ,3.3333333333333335
Grasp ,3.3666666666666667
Position,3.433333333333333
Position,3.466666666666667
Grasp ,3.5
Position,3.533333333333333
Position,3.566666666666667
Position,3.6
Position,3.6333333333333333
Position,3.6666666666666665
Position,3.7
Position,3.7333333333333334
Position,3.7666666666666666
Position,3.8
Position,3.8333333333333335
Position,3.8666666666666667
Position,3.9
Position,3.933333333333333
Position,3.966666666666667
Position,4.0
Position,4.033333333333333
Position,4.066666666666666
Position,4.1
Position,4.133333333333334
Position,4.166666666666667
Position,4.2
Position,4.233333333333333
Position,4.266666666666667
Position,4.3
Position,4.333333333333333
Position,4.366666666666666
Position,4.4
Position,4.433333333333334
Position,4.466666666666667
Position,4.5
Position,4.533333333333333
Position,4.566666666666666
Position,4.6
Position,4.633333333333334
Position,4.666666666666667
Position,4.7
Position,4.733333333333333
Move,5.233333333333333
Move,5.266666666666667
Reach ,5.3
Reach ,5.333333333333333
Move,5.366666666666666
Reach ,5.4
Move,5.433333333333334
Position,5.666666666666667
Position,5.7
Position,5.733333333333333
Position,5.766666666666667
Position,5.8
Position,5.833333333333333
Position,5.866666666666666
Grasp ,5.933333333333334
Grasp ,5.966666666666667
Position,6.0
Position,6.033333333333333
Position,6.066666666666666
Position,6.1
Position,6.133333333333334
Position,6.166666666666667
Position,6.2
Position,6.233333333333333
Position,6.266666666666667
Reach ,6.733333333333333
Reach ,6.766666666666667
Reach ,6.8
Grasp ,6.833333333333333
Grasp ,6.866666666666666
Grasp ,6.9
Release,6.933333333333334
Release,6.966666666666667
Grasp ,7.0
Reach ,7.033333333333333
Reach ,7.066666666666666
Release,7.1
Reach ,7.133333333333334
Reach ,7.166666666666667
Reach ,7.2
Reach ,7.233333333333333
Reach ,7.266666666666667
Reach ,7.3
Move,7.333333333333333
Move,7.366666666666666
Reach ,7.4
Move,7.433333333333334
Move,7.466666666666667
Position,7.5
Position,7.533333333333333
Release,8.5
Release,8.533333333333333
Position,8.833333333333334
Position,8.866666666666667
Position,8.9
Position,8.933333333333334
Position,8.966666666666667
Position,9.0
Release,9.033333333333333
Move,9.266666666666667
Move,9.3
Reach ,9.4
Move,9.433333333333334
Grasp ,9.733333333333333
Grasp ,9.766666666666667
Position,9.8
Position,9.833333333333334
Position,9.866666666666667
Move,10.366666666666667
Reach ,10.766666666666667
Reach ,10.8
Release,10.833333333333334
Release,10.866666666666667
Position,10.9
Position,10.933333333333334
Position,10.966666666666667
Position,11.0
Grasp ,11.033333333333333
Position,11.1
Position,11.133333333333333
Move,11.133333333333333
Position,11.166666666666666
Move,11.166666666666666
Move,11.2
Position,11.233333333333333
Position,11.266666666666667
Move,11.266666666666667
Position,11.3
Move,11.3
Position,11.333333333333334
Position,11.366666666666667
Release,11.4
Position,11.433333333333334
Position,11.466666666666667
Position,11.5
Grasp ,11.533333333333333
Position,11.566666666666666
Position,11.766666666666667
Position,11.8
Position,11.833333333333334
Position,11.866666666666667
Position,11.9
Position,11.933333333333334
Position,11.966666666666667
Position,12.0
Position,12.033333333333333
Position,12.066666666666666
Position,12.1
Position,12.133333333333333
Position,12.166666666666666
Position,12.2
Position,12.233333333333333
Position,12.266666666666667
Position,12.3
Position,12.333333333333334
Position,12.366666666666667
Position,12.4
Position,12.433333333333334
Position,12.466666666666667
Position,12.5
Position,12.533333333333333
Position,12.566666666666666
Position,12.6
Position,12.633333333333333
Position,12.666666666666666
Position,12.7
Position,12.733333333333333
Position,12.766666666666667
Position,12.8
Position,12.833333333333334
Position,12.866666666666667
Position,12.9
Grasp ,12.933333333333334
Grasp ,12.966666666666667
Grasp ,13.0
Grasp ,13.033333333333333
Grasp ,13.066666666666666
Grasp ,13.1
Grasp ,13.133333333333333
Grasp ,13.166666666666666
Grasp ,13.2
Grasp ,13.233333333333333
Grasp ,13.266666666666667
Grasp ,13.3
Grasp ,13.333333333333334
Grasp ,13.366666666666667
Grasp ,13.4
Grasp ,13.433333333333334
Grasp ,13.466666666666667
Grasp ,13.5
Grasp ,13.533333333333333
Grasp ,13.566666666666666
Grasp ,13.6
Grasp ,13.633333333333333
Grasp ,13.666666666666666
Grasp ,13.7
Grasp ,13.733333333333333
Grasp ,13.766666666666667
Grasp ,13.8
Grasp ,13.833333333333334
Grasp ,13.866666666666667
Grasp ,13.9
Grasp ,13.933333333333334
Grasp ,13.966666666666667
Position,14.0
Position,14.066666666666666
Grasp ,14.1
Position,14.133333333333333
Position,14.166666666666666
Position,14.2
Position,14.233333333333333
Position,14.266666666666667
Position,14.3
Position,14.333333333333334
Position,14.366666666666667
Position,14.4
Position,14.433333333333334
Position,14.466666666666667
Position,14.5
Position,14.533333333333333
Position,14.566666666666666
Position,14.6
Position,14.633333333333333
Position,14.666666666666666
Position,14.7
Position,14.733333333333333
Position,14.766666666666667
Position,14.8
Position,14.833333333333334
Position,14.866666666666667
Position,14.9
Position,14.933333333333334
Position,14.966666666666667
Position,15.0
Position,15.033333333333333
Position,15.066666666666666
Position,15.1
Position,15.133333333333333
Position,15.166666666666666
Position,15.2
Position,15.233333333333333
Position,15.266666666666667
Reach ,15.466666666666667
Reach ,15.5
Reach ,15.533333333333333
Reach ,15.566666666666666
Reach ,15.6
Reach ,15.633333333333333
Reach ,15.666666666666666
Grasp ,15.733333333333333
Position,15.766666666666667
Position,15.966666666666667
Position,16.066666666666666
Position,16.1
Position,16.133333333333333
Position,16.166666666666668
Position,16.2
Position,16.233333333333334
Reach ,16.533333333333335
Reach ,16.566666666666666
Reach ,16.6
Reach ,16.633333333333333
Reach ,16.666666666666668
Reach ,16.7
Reach ,16.733333333333334
Reach ,16.766666666666666
Reach ,16.8
Reach ,16.833333333333332
Reach ,16.9
Reach ,16.933333333333334
Reach ,16.966666666666665
Reach ,17.0
Reach ,17.066666666666666
Reach ,17.1
Reach ,17.133333333333333
Reach ,17.166666666666668
Reach ,17.2
Release,17.233333333333334
Position,17.4
Grasp ,17.433333333333334
Position,17.466666666666665
Position,17.5
Position,17.533333333333335
Position,17.566666666666666
Position,17.6
Position,17.633333333333333
Position,17.666666666666668
Grasp ,17.7
Position,17.733333333333334
Position,17.766666666666666
Position,17.833333333333332
Position,17.933333333333334
Position,17.966666666666665
Position,18.0
Position,18.033333333333335
Position,18.066666666666666
Position,18.1
Position,18.133333333333333
Position,18.166666666666668
Position,18.2
Position,18.233333333333334
Position,18.266666666666666
Position,18.3
Position,18.333333333333332
Position,18.366666666666667
Position,18.4
Position,18.433333333333334
Position,18.466666666666665
Position,18.5
Position,18.533333333333335
Position,18.566666666666666
Position,18.6
Position,18.633333333333333
Position,18.666666666666668
Position,18.7
Position,18.733333333333334
Position,18.766666666666666
Position,18.8
Position,18.833333333333332
Position,18.866666666666667
Position,18.9
Position,18.933333333333334
Position,18.966666666666665
Position,19.0
Position,19.033333333333335
Position,19.066666666666666
Position,19.1
Position,19.133333333333333
Position,19.166666666666668
Position,19.2
Position,19.233333333333334
Position,19.266666666666666
Position,19.3
Position,19.333333333333332
Position,19.366666666666667
Position,19.4
Position,19.433333333333334
Position,19.466666666666665
Position,19.5
Position,19.533333333333335
Position,19.566666666666666
Position,19.6
Position,19.633333333333333
Position,19.666666666666668
Position,19.7
Position,19.733333333333334
Position,19.766666666666666
Grasp ,19.8
Grasp ,19.833333333333332
Grasp ,19.866666666666667
Position,19.9
Grasp ,19.933333333333334
Grasp ,19.966666666666665
Position,20.0
Position,20.033333333333335
Position,20.066666666666666
Position,20.133333333333333
Position,20.166666666666668
Position,20.2
Position,20.233333333333334
Position,20.3
Position,20.333333333333332
Position,20.366666666666667
Position,20.4
Position,20.433333333333334
Position,20.466666666666665
Position,20.5
Position,20.533333333333335
Position,20.566666666666666
Position,20.6
Position,20.633333333333333
Position,20.666666666666668
Position,20.7
Position,20.733333333333334
Position,20.766666666666666
Position,20.8
Position,20.833333333333332
Position,20.866666666666667
Position,20.9
Position,20.933333333333334
Position,20.966666666666665
Position,21.0
Position,21.033333333333335
Position,21.066666666666666
Position,21.1
Position,21.133333333333333
Position,21.166666666666668
Position,21.2
Position,21.233333333333334
Position,21.266666666666666
Position,21.3
Position,21.333333333333332
Position,21.366666666666667
