Time (s),Output
Grasp ,10.384577512741089
Realese,10.524617910385132
Realese,10.666175603866577
Grasp ,10.79366660118103
Reach ,10.911451816558838
Position,11.677367210388184
Grasp ,11.793257236480713
Grasp ,11.915019035339355
Realese,12.041147470474243
Grasp ,12.16131854057312
Grasp ,12.281285047531128
Grasp ,12.386904954910278
Grasp ,12.499489545822144
Grasp ,12.608302593231201
Grasp ,12.733092069625854
Grasp ,12.859278917312622
Grasp ,12.96051025390625
Grasp ,13.07517385482788
Position,13.200837850570679
Position,13.304603576660156
Grasp ,13.43207597732544
Grasp ,13.547761678695679
Grasp ,13.668025493621826
Position,13.776979684829712
Position,13.901578426361084
Position,14.023194789886475
Position,14.132142543792725
Reach ,14.232191562652588
Reach ,14.342148542404175
idle,14.445894718170166
Position,14.566672563552856
Position,14.699126958847046
Position,14.805525302886963
Position,14.93537163734436
Position,15.051332712173462
Grasp ,15.171452283859253
Grasp ,15.295977115631104
Position,15.398498058319092
Position,15.508920192718506
Position,15.605649471282959
Position,15.717559099197388
Position,15.836962699890137
Position,15.942296266555786
Position,16.049086570739746
Position,16.1778621673584
Position,16.290488481521606
Position,16.392937898635864
Position,16.519542694091797
Position,16.66222381591797
Position,16.765946865081787
Position,16.878409385681152
Position,17.009467124938965
Position,17.13157367706299
Position,17.242614030838013
Position,17.346221923828125
Position,17.468488216400146
Position,17.582552433013916
Position,17.692457675933838
Position,17.808353185653687
idle,17.92637801170349
Grasp ,18.08068084716797
Grasp ,18.177306413650513
Reach ,18.291935205459595
Grasp ,18.40500521659851
Grasp ,18.50268840789795
Position,18.605842113494873
idle,18.714853525161743
idle,18.832279443740845
Position,18.939804077148438
Position,19.067890167236328
Position,19.18703866004944
Position,20.867634534835815
Grasp ,20.96512484550476
Realese,21.15196204185486
Position,21.215230703353882
Position,21.317073345184326
idle,21.394972562789917
Grasp ,21.50281286239624
Grasp ,21.603155374526978
Reach ,21.692830324172974
Position,21.811550855636597
Position,21.932559728622437
Position,22.03408908843994
Position,22.173726081848145
Position,22.27593755722046
Position,22.40346074104309
Position,22.580413579940796
Position,22.70146632194519
Position,22.793570041656494
Position,22.889049530029297
Position,22.9712016582489
Position,23.059653520584106
Position,23.139777660369873
idle,23.223631620407104
Realese,23.313663959503174
Realese,23.371782064437866
Reach ,23.46382761001587
Position,23.531721115112305
Position,23.612128019332886
Position,23.687867164611816
Position,23.772578716278076
Position,23.86622905731201
idle,23.94597816467285
Position,24.035900592803955
Position,24.13606858253479
Position,24.22789430618286
Position,24.331958532333374
Position,24.41520643234253
Position,24.50345730781555
Position,24.60046076774597
Position,24.69771718978882
Position,24.770912885665894
Position,24.878300666809082
Position,24.95889115333557
Position,25.064825296401978
Position,25.143754720687866
Position,25.252561807632446
Position,25.343884229660034
Position,25.421611309051514
Position,25.50338912010193
Position,25.591631650924683
Position,25.67879319190979
Position,25.750305891036987
idle,25.846210718154907
Position,25.936400890350342
Position,26.037079095840454
idle,26.11675715446472
idle,26.220844507217407
Position,26.372648000717163
Position,26.504250288009644
Position,26.656172513961792
Realese,26.818435430526733
Position,26.93834662437439
idle,27.045838117599487
Position,27.141392946243286
Position,27.269147157669067
idle,27.433077573776245
Position,27.52370858192444
Reach ,27.608420610427856
Position,27.714151620864868
Realese,27.817689895629883
Reach ,27.88607144355774
Reach ,27.992528438568115
Reach ,28.093419075012207
Reach ,28.19477891921997
idle,28.288532972335815
idle,28.37148642539978
Reach ,28.498576402664185
idle,28.606724739074707
idle,28.700788021087646
idle,28.782982349395752
idle,28.89183211326599
idle,28.986264944076538
idle,29.081072568893433
idle,29.17351245880127
idle,29.272778511047363
idle,29.375660181045532
idle,29.457425355911255
idle,29.55294942855835
idle,29.629676818847656
idle,29.77066159248352
idle,29.847658395767212
idle,29.93676471710205
idle,30.04797887802124
Reach ,30.157621383666992
Position,30.264203786849976
Position,30.36095952987671
Position,30.48039937019348
Position,30.60787272453308
Position,30.71874713897705
Position,30.810271739959717
Position,30.889028072357178
Grasp ,31.022639274597168
Grasp ,31.10792350769043
Grasp ,31.20233416557312
Grasp ,31.281942129135132
Grasp ,31.37482213973999
Grasp ,31.479480266571045
idle,31.58722734451294
Grasp ,31.68656873703003
Grasp ,31.780972957611084
Grasp ,31.886056184768677
Grasp ,32.01111578941345
Grasp ,32.12306785583496
Grasp ,32.22189140319824
Grasp ,32.323955059051514
Grasp ,32.4207820892334
Grasp ,32.5338134765625
Grasp ,32.631810665130615
Grasp ,32.69857907295227
Grasp ,32.77339005470276
Grasp ,32.88196849822998
idle,32.96441721916199
Grasp ,33.043917417526245
Grasp ,33.14977669715881
Grasp ,33.25355124473572
Grasp ,33.3366494178772
Grasp ,33.45639085769653
Grasp ,33.58955001831055
Grasp ,33.7154655456543
Grasp ,33.83640694618225
Grasp ,33.95945692062378
Grasp ,34.06985926628113
Grasp ,34.1939013004303
Grasp ,34.28507161140442
Grasp ,34.37823724746704
Grasp ,34.486921548843384
Position,34.58054757118225
Grasp ,34.67618417739868
Grasp ,34.781344175338745
Position,34.877782344818115
Position,34.98929262161255
Grasp ,35.10116195678711
idle,35.19560122489929
Grasp ,35.28565263748169
Grasp ,35.38243579864502
idle,35.508424520492554
Grasp ,35.612096071243286
Grasp ,35.7077100276947
Grasp ,35.83774375915527
Position,35.95961356163025
Position,36.061429500579834
Position,36.18319129943848
Position,36.31127858161926
Grasp ,36.41932392120361
Grasp ,36.55271124839783
idle,36.64086604118347
Reach ,36.75529170036316
Reach ,36.87112283706665
Reach ,36.978750228881836
idle,37.066001653671265
idle,37.17999815940857
idle,37.28190493583679
idle,37.40635800361633
idle,37.52678060531616
idle,37.63474488258362
idle,37.734270095825195
Grasp ,37.84980368614197
Grasp ,37.97397446632385
