Time (s),Output
Position,4.723663568496704
Reach ,4.838572978973389
Move,4.852921009063721
Move,4.9684998989105225
Release,5.063467025756836
Move,5.06398344039917
Reach ,5.179355144500732
Move,5.180384874343872
Reach ,5.3217613697052
Move,5.322761535644531
Move,5.45465612411499
Move,5.5953662395477295
Move,5.7226550579071045
Move,5.8369386196136475
Move,5.962575912475586
Release,6.072042942047119
Position,6.166991233825684
Release,6.268561601638794
Release,6.391316175460815
Release,6.521960973739624
Release,6.671233177185059
Reach ,6.80193829536438
Reach ,6.894996166229248
Move,7.046602249145508
Reach ,7.1584861278533936
Move,7.244598865509033
Reach ,7.3279173374176025
Reach ,7.463902711868286
Reach ,7.553709506988525
Reach ,7.676924228668213
Reach ,7.779422283172607
Reach ,7.85693097114563
Reach ,7.9351770877838135
Reach ,8.010924577713013
Reach ,8.17941403388977
Reach ,8.298129081726074
Reach ,8.398429870605469
Reach ,8.523635625839233
Reach ,8.635782480239868
Position,8.717817783355713
Position,8.853946685791016
Position,8.933786153793335
Position,9.064465761184692
Reach ,9.189970016479492
Release,9.364115953445435
Move,9.492262125015259
Release,9.613526582717896
Release,9.757978439331055
Release,9.879135608673096
Release,9.989477634429932
Release,10.122343301773071
Release,10.268408060073853
Reach ,10.388471603393555
Position,10.496846675872803
Reach ,10.597078323364258
Position,10.713990688323975
Reach ,10.842930316925049
Move,10.936267375946045
Reach ,11.060622692108154
Move,11.144019842147827
Reach ,11.283064603805542
Grasp ,11.382565021514893
Reach ,11.506476640701294
Reach ,11.768033027648926
idle,12.041704654693604
idle,12.12569808959961
Grasp ,12.268874883651733
Reach ,12.492922306060791
Reach ,12.616142272949219
Grasp ,12.787490844726562
idle,12.92743968963623
Reach ,13.08607029914856
Reach ,13.18726921081543
idle,13.325297355651855
Position,14.84894585609436
Reach ,15.027157068252563
Reach ,15.257152795791626
Reach ,15.32620620727539
idle,15.428961992263794
Release,15.512858629226685
Position,15.609429597854614
Move,15.81821584701538
Move,15.900348901748657
Move,16.018900871276855
Move,16.234041452407837
Release,16.319210052490234
Release,16.406733751296997
Release,16.470847368240356
Reach ,16.578532934188843
Reach ,16.671481132507324
Grasp ,16.763786792755127
Position,16.828141927719116
Position,16.922945737838745
idle,17.018575429916382
Reach ,17.177083015441895
Reach ,17.252538204193115
Release,17.453144073486328
Grasp ,17.95520782470703
Position,18.052651405334473
Move,18.179045915603638
Reach ,18.289177894592285
Reach ,18.38937735557556
Release,18.51355290412903
Release,18.63879108428955
Release,18.769742727279663
Release,18.89167547225952
Release,18.98840355873108
Reach ,19.152525901794434
Release,19.263302087783813
Reach ,19.398144483566284
Reach ,19.543694734573364
Release,19.665072441101074
Release,19.790777683258057
Release,19.898964643478394
Release,20.00713038444519
Release,20.1235933303833
Release,20.255218982696533
Release,20.399985313415527
Release,20.51041054725647
Release,20.641942501068115
Release,20.78800082206726
Reach ,20.912242889404297
Reach ,21.024975299835205
Reach ,21.143944025039673
Reach ,21.258061170578003
Reach ,21.37882089614868
Reach ,21.513764142990112
idle,21.637691974639893
Grasp ,21.638725757598877
idle,21.738605737686157
idle,21.738605737686157
Reach ,21.873769283294678
Reach ,21.97507953643799
idle,21.986128330230713
Reach ,22.09464740753174
Grasp ,22.095661878585815
Reach ,22.215919971466064
idle,22.21693229675293
Reach ,22.34469175338745
Grasp ,22.34670615196228
Reach ,22.49359655380249
Reach ,22.611114025115967
Release,22.729790210723877
Grasp ,22.73101019859314
Release,22.879458904266357
idle,22.880447149276733
Release,23.014207124710083
Release,23.199193954467773
Release,23.32685875892639
Reach ,23.49984097480774
Release,23.637028694152832
idle,23.920064687728882
Reach ,24.053604125976562
Release,28.532118797302246
Position,29.032712697982788
Position,29.144902229309082
Move,29.265998601913452
Reach ,29.40986967086792
Move,29.82927370071411
Reach ,29.971794605255127
Release,30.096975088119507
Reach ,30.204545974731445
Move,30.343419551849365
Move,30.697743892669678
Move,30.81801414489746
Move,30.9627685546875
idle,31.119359016418457
Move,31.12135887145996
Move,31.256452798843384
Move,31.39492440223694
Move,31.5095534324646
Move,31.640586853027344
Move,31.758119583129883
Move,31.901878833770752
Move,32.01058626174927
Move,32.12300252914429
Move,32.21851205825806
Move,32.34161329269409
Move,32.470298051834106
Move,32.59375262260437
Move,32.726266622543335
Move,32.878812313079834
Move,32.98813843727112
Move,33.12938642501831
Move,33.255632638931274
idle,33.37778925895691
Move,33.37878942489624
Move,33.547682762145996
Reach ,33.68698310852051
Reach ,33.804728269577026
Reach ,33.980273485183716
Reach ,34.086243867874146
Reach ,34.19991135597229
Reach ,34.32771921157837
