Time (s),Output
Release,10.552300930023193
Release,10.612328290939331
Release,10.69092059135437
Release,10.764785528182983
Release,10.853530168533325
Release,10.913901805877686
Release,10.977393627166748
Release,11.065155744552612
Release,11.13133454322815
Release,11.203840017318726
Position,11.27392315864563
Position,11.349087238311768
Position,11.42127513885498
Position,11.48935055732727
Position,11.541579961776733
Position,11.6158926486969
Position,11.689225435256958
Position,11.766413688659668
Position,11.839377880096436
Position,11.911844491958618
Position,11.979873418807983
Position,12.053715705871582
Position,12.13217806816101
Position,12.210110187530518
Position,12.281205892562866
Position,12.338205099105835
Position,12.40951132774353
Position,12.475025415420532
Position,12.536656618118286
Position,12.609514951705933
Position,12.660295248031616
Position,12.734829425811768
Position,12.809571266174316
Position,12.887532234191895
Position,12.966066837310791
Position,13.036946773529053
Position,13.104883432388306
Position,13.177564859390259
Position,13.262824535369873
Position,13.33800458908081
Position,13.404734373092651
Position,13.478976726531982
Position,13.552078485488892
Position,13.613142967224121
Position,14.358875036239624
Position,14.42312240600586
Position,14.50599193572998
Position,14.575501441955566
Position,14.641628503799438
Position,14.705512762069702
Position,14.775551557540894
Position,14.83728575706482
Position,14.922256469726562
Position,14.981622457504272
Position,15.03948974609375
Position,15.11629056930542
Position,15.19594120979309
Position,15.264166831970215
Position,15.326329231262207
Position,15.39901089668274
Position,15.473292112350464
Release,15.539973020553589
Position,15.614413499832153
Release,15.685741424560547
Reach ,15.762573957443237
Reach ,15.827648878097534
Grasp ,15.899614810943604
Grasp ,15.97849702835083
Position,16.04699206352234
Grasp ,16.116559743881226
Reach ,16.189496278762817
Reach ,16.239837646484375
Reach ,16.31062364578247
Reach ,16.37162494659424
Position,16.446975708007812
Position,16.520718812942505
Position,16.60315465927124
Release,16.66838836669922
Release,16.735158443450928
Release,16.810757875442505
Reach ,16.87578797340393
Release,16.951382398605347
Release,17.0250186920166
Release,17.101299285888672
Release,17.15933632850647
Release,17.23603582382202
Release,17.307486534118652
Release,17.37350630760193
Release,17.428133726119995
Release,17.504257917404175
Reach ,17.573011875152588
Reach ,17.64648675918579
Grasp ,17.82041311264038
Position,17.896624088287354
Move,17.971020698547363
Move,18.039812088012695
