Time (s),Output
Position,12.909733295440674
Position,13.017134189605713
Position,13.191423177719116
Grasp ,13.439432382583618
Grasp ,13.688788890838623
Realese,14.130236387252808
Realese,14.241706371307373
Realese,14.340213060379028
Realese,14.469605207443237
Realese,14.58863615989685
Realese,14.686206340789795
Grasp ,14.797199964523315
Grasp ,14.908829927444458
Realese,15.011626720428467
Grasp ,15.117878437042236
Grasp ,15.402581214904785
Grasp ,15.515048027038574
Grasp ,15.59818983078003
Grasp ,15.6740083694458
Position,15.794244527816772
Position,15.907775640487671
Position,15.990245819091797
Position,16.064454555511475
Position,16.220935106277466
Reach ,16.298364639282227
idle,16.376739740371704
idle,16.49192190170288
idle,16.575246810913086
Realese,16.654135942459106
idle,16.734670639038086
idle,16.80909276008606
idle,16.939006567001343
Reach ,17.037795782089233
Reach ,17.16296648979187
Realese,17.2752628326416
Realese,17.38214349746704
Realese,17.468154668807983
Realese,17.596994400024414
Position,17.67177724838257
Position,17.806376457214355
Position,17.91130828857422
Position,18.195878982543945
Position,18.301425457000732
Position,18.399606466293335
Position,18.5426607131958
idle,18.64447522163391
Grasp ,18.75166368484497
Reach ,19.135700464248657
Reach ,19.24030041694641
Reach ,19.36493682861328
Reach ,19.47513699531555
Reach ,19.604737520217896
Reach ,19.718554258346558
Reach ,19.836484909057617
Reach ,19.91514539718628
Reach ,20.041910648345947
Reach ,20.168447494506836
Reach ,20.28569197654724
Reach ,20.394781351089478
Realese,20.56659984588623
Realese,20.693251848220825
Position,20.83686590194702
Position,20.93813180923462
Position,21.06613326072693
Position,21.14700174331665
Position,21.22422766685486
Position,21.39229130744934
Position,21.527599096298218
Position,21.625196933746338
Realese,21.742117643356323
Position,21.848233461380005
idle,21.932345867156982
Realese,22.07042169570923
Realese,22.173946380615234
Realese,22.329254627227783
Reach ,22.451704263687134
Reach ,22.581291437149048
Reach ,22.70622682571411
Reach ,22.821233987808228
Reach ,22.982337951660156
Reach ,23.113778114318848
Grasp ,23.223292112350464
Grasp ,23.367671489715576
Grasp ,23.50125217437744
Reach ,23.653765439987183
Realese,23.91681432723999
Realese,24.109156608581543
Realese,24.229021787643433
Realese,24.36914324760437
Realese,24.49712562561035
Grasp ,24.763419151306152
Realese,25.02947163581848
Position,25.132821321487427
Position,25.215935707092285
Position,25.330700397491455
Position,25.442514657974243
Position,25.442514657974243
Position,25.5406174659729
Position,25.6517174243927
Move,25.652717351913452
Position,25.72695779800415
Move,25.72793674468994
Realese,26.216137647628784
Grasp ,26.217150688171387
Reach ,26.33141255378723
Reach ,26.425495862960815
Move,26.5369656085968
Grasp ,26.53801918029785
Grasp ,26.83501648902893
Grasp ,26.966395139694214
Position,27.05069637298584
Position,27.1587872505188
Position,27.268437385559082
Position,27.362776517868042
Position,27.442976474761963
Position,27.561670064926147
Position,27.65923237800598
Position,27.74889063835144
Position,27.87208390235901
Position,27.973648071289062
Position,28.074925422668457
Realese,28.195530652999878
Realese,28.300559520721436
Realese,28.406227111816406
Realese,28.49609899520874
Realese,28.5898756980896
Realese,28.704749584197998
Position,28.814149618148804
Position,28.920942783355713
Realese,29.012707471847534
Realese,29.112894773483276
Realese,29.223249673843384
Realese,29.334113836288452
idle,29.43979263305664
idle,29.504810094833374
Realese,29.649221897125244
Position,29.759488105773926
Position,29.871370553970337
Realese,29.973283290863037
idle,30.069682836532593
Realese,30.17251491546631
Realese,30.273887157440186
idle,30.500070810317993
Realese,30.687395334243774
Realese,30.803025007247925
Realese,31.264489889144897
Position,31.38323163986206
Position,31.859243869781494
Position,31.977048635482788
Position,32.122230052948
Position,32.24706244468689
Position,32.3546986579895
Position,32.47203707695007
Position,32.576735973358154
Position,32.715739488601685
Position,32.847256898880005
Position,32.96696186065674
Position,33.14688777923584
Realese,33.2963707447052
Position,33.42823791503906
Realese,33.56162095069885
Realese,33.720956802368164
Realese,33.891883850097656
Realese,34.04607892036438
Realese,34.18906259536743
Grasp ,34.35168647766113
Position,34.51729941368103
Position,34.66563606262207
Position,34.824893951416016
Move,34.9710476398468
idle,34.972076654434204
Position,35.07030749320984
Position,35.22931504249573
Realese,35.387606143951416
idle,35.52955746650696
Grasp ,35.68859505653381
Grasp ,35.863900899887085
Grasp ,36.018022298812866
Grasp ,36.17315435409546
Grasp ,36.31038308143616
idle,36.46888971328735
idle,36.611191749572754
Reach ,36.76386475563049
Reach ,36.866881132125854
idle,36.9884033203125
Reach ,37.1188063621521
Reach ,37.22586393356323
Grasp ,37.33810377120972
Grasp ,37.47333574295044
Grasp ,37.61428236961365
Position,37.72358417510986
Grasp ,37.796234130859375
Reach ,37.891865253448486
Reach ,37.978800773620605
Reach ,38.088130712509155
Position,38.21799445152283
Position,38.28646922111511
Position,38.397953271865845
Position,38.478734731674194
Reach ,38.56346678733826
Reach ,38.62347626686096
Reach ,38.70374798774719
Position,38.787989139556885
Position,38.89467668533325
Reach ,38.981995582580566
idle,39.05071258544922
Realese,39.15485978126526
Position,39.229377031326294
Position,39.28862524032593
Position,39.38055348396301
Position,39.45224928855896
Position,39.55334687232971
Realese,39.83560514450073
Reach ,39.90193247795105
Reach ,39.99107098579407
Position,40.07154083251953
Position,40.17560887336731
Position,40.277584075927734
Realese,40.372395753860474
Realese,40.477129220962524
Realese,40.543638706207275
Realese,40.658193588256836
idle,40.72031569480896
idle,40.821139335632324
idle,40.9185848236084
Realese,41.02728796005249
Realese,41.11184787750244
Realese,41.19792652130127
Realese,41.29208707809448
Realese,41.380396604537964
Realese,41.471909284591675
Realese,41.57618451118469
Realese,41.683748960494995
Realese,41.78347396850586
Realese,41.88855791091919
Position,41.9653422832489
Realese,42.065187215805054
Position,42.25141263008118
Position,42.352986574172974
Realese,42.56829500198364
Position,42.65529441833496
Reach ,42.778101444244385
Reach ,42.89447355270386
Reach ,42.99118685722351
Reach ,43.085095167160034
Reach ,43.20127248764038
Reach ,43.32011651992798
Reach ,43.4119827747345
Reach ,43.50668001174927
idle,43.59214115142822
idle,43.75063681602478
Position,43.85036516189575
Position,43.955260038375854
Realese,44.028077840805054
Position,44.14415645599365
Position,44.2270073890686
Position,44.33197522163391
Position,44.43165111541748
Position,44.50023078918457
Position,44.583152770996094
Position,44.692339181900024
Position,44.77156186103821
Position,44.87585401535034
Position,45.0775306224823
Move,45.17778944969177
Realese,45.35269784927368
Grasp ,45.42696690559387
Grasp ,45.494954109191895
Grasp ,45.549553871154785
Realese,45.655431270599365
Realese,45.75550055503845
Reach ,45.848756551742554
Reach ,45.9307074546814
Grasp ,46.00139260292053
Grasp ,46.06244611740112
Grasp ,46.1276650428772
Realese,46.19067621231079
Grasp ,46.25452446937561
Grasp ,46.3575394153595
Grasp ,46.47256278991699
Realese,46.6956353187561
Reach ,46.794710636138916
Reach ,46.877623558044434
idle,46.989187240600586
Reach ,47.080971479415894
Grasp ,47.18432068824768
Reach ,47.289278984069824
Reach ,47.37208318710327
Reach ,47.48272752761841
Reach ,47.587626934051514
Reach ,47.6710000038147
Reach ,47.787946939468384
Reach ,47.875909090042114
Reach ,47.959270000457764
Reach ,48.07916712760925
Reach ,48.16695713996887
Reach ,48.28433561325073
Reach ,48.40617513656616
Realese,48.482985734939575
Realese,48.58663988113403
Realese,48.7339551448822
Realese,48.86541199684143
Realese,48.979374170303345
idle,49.07057213783264
idle,49.172513484954834
Reach ,49.3025324344635
Realese,49.40915870666504
Realese,49.520270586013794
Grasp ,49.60731792449951
Position,49.68372440338135
Position,49.815595388412476
Position,49.91658592224121
Position,50.02282118797302
Position,50.130836486816406
Position,50.25039482116699
Position,50.35870862007141
Position,50.483657360076904
Position,50.58625817298889
Position,50.714439153671265
Position,50.821523904800415
Position,50.9520320892334
Position,51.083983421325684
Realese,51.2196741104126
Position,51.34732007980347
Position,51.47062110900879
Position,51.57715940475464
Position,51.70895433425903
Position,51.824562549591064
Position,51.94728088378906
Position,52.07655906677246
Position,52.197083950042725
Position,52.28708291053772
Realese,52.393388986587524
Position,52.537606954574585
Position,52.69024085998535
Position,52.83169984817505
Position,52.96116900444031
Position,53.11148810386658
Position,53.21751594543457
Realese,53.478742599487305
Reach ,53.81486177444458
Grasp ,53.9091911315918
Grasp ,54.136046409606934
Grasp ,54.211610078811646
Grasp ,54.31593108177185
Grasp ,54.39776611328125
Grasp ,54.48493456840515
Reach ,54.58466958999634
Reach ,54.66906785964966
Reach ,54.76993942260742
Realese,54.83715796470642
Realese,54.91662621498108
Realese,55.005101680755615
Realese,55.07423734664917
Realese,55.180503368377686
Realese,55.281301736831665
idle,55.35285210609436
idle,55.44988131523132
idle,55.53414440155029
Realese,55.619083881378174
Position,55.71345496177673
Position,55.81164622306824
Position,55.91444444656372
Position,56.0328414440155
Position,56.10854768753052
Position,56.21329689025879
Position,56.30668544769287
Position,56.42229962348938
Move,56.619500398635864
Grasp ,56.98172450065613
Move,57.08924865722656
Grasp ,57.180601596832275
Grasp ,57.287781953811646
Grasp ,57.408432960510254
Reach ,57.4902708530426
Grasp ,57.58145332336426
Grasp ,57.690619230270386
Move,57.79516077041626
Move,57.8990433216095
Move,57.98599147796631
Move,58.0985906124115
Move,58.45061206817627
Move,58.54870414733887
Reach ,58.6943678855896
Reach ,58.84494423866272
Grasp ,58.924543619155884
Grasp ,59.047839641571045
Reach ,59.12106776237488
Move,59.251879930496216
Move,59.369784355163574
Move,59.462454080581665
Move,59.6091206073761
Move,59.71017932891846
Move,59.81397533416748
Move,59.94358444213867
Move,60.07240414619446
Move,60.17490911483765
Move,60.26630520820618
Move,60.37840819358826
Move,60.479564905166626
Grasp ,60.564934730529785
Grasp ,60.68763089179993
Grasp ,60.79655909538269
Grasp ,60.88047456741333
Grasp ,60.99693465232849
Grasp ,61.11885452270508
Move,61.21497845649719
Move,61.331236362457275
Move,61.44252562522888
Move,61.541802406311035
Move,61.64710569381714
