x,y
614,315
622,318
458,300
456,300
339,312
456,300
339,311
458,302
362,302
459,302
361,303
459,302
361,303
460,303
365,302
461,303
461,303
461,303
461,303
461,303
461,303
461,304
461,305
460,306
458,310
458,313
459,323
460,324
459,335
460,351
286,372
463,357
463,358
468,364
470,363
473,360
473,360
478,354
481,351
480,349
480,347
485,331
484,323
484,317
483,302
482,299
478,290
477,287
476,285
475,282
480,280
483,279
483,280
480,280
475,281
475,282
475,283
474,283
474,282
473,285
473,285
477,284
477,283
482,283
482,284
482,284
482,284
485,285
485,286
486,292
488,299
488,300
490,316
490,325
491,329
492,330
493,338
494,337
494,337
494,337
477,353
244,439
462,359
452,370
449,372
449,376
449,375
450,381
451,380
451,380
449,380
448,380
446,380
446,379
445,379
448,370
452,367
452,367
452,367
475,313
483,295
479,285
478,285
476,283
476,282
475,282
473,282
472,281
471,281
471,280
470,281
470,281
470,281
470,280
213,325
471,280
211,318
471,279
210,317
471,280
471,280
472,280
472,280
473,280
471,281
470,281
471,281
472,279
472,279
472,279
472,279
471,279
471,278
471,278
471,278
471,278
471,278
470,278
470,278
471,278
471,278
471,278
471,278
471,278
470,278
471,277
471,278
471,278
471,278
471,278
471,278
471,278
471,277
471,277
471,277
471,277
471,277
471,277
471,277
471,277
471,277
471,278
471,277
471,277
471,277
471,277
471,277
471,276
471,276
471,276
470,276
471,277
471,277
471,277
471,278
471,278
471,278
471,278
471,278
471,278
471,278
472,278
472,278
472,278
472,278
472,278
471,278
472,278
471,278
471,277
471,277
471,278
465,279
186,312
463,279
463,278
466,278
467,278
469,278
469,277
467,277
463,279
463,278
462,278
464,276
465,276
467,274
469,274
470,274
473,272
473,273
473,272
473,272
473,272
472,272
473,272
474,273
474,273
474,273
327,307
476,272
476,272
478,274
479,274
479,273
479,273
479,273
480,272
480,272
481,272
481,272
483,274
483,274
484,280
486,278
495,281
495,282
495,282
494,281
493,281
493,280
492,279
495,279
496,279
497,278
497,278
498,278
497,278
498,278
498,277
499,277
500,277
500,276
500,276
500,275
502,271
502,271
501,271
501,271
501,270
500,270
500,270
501,266
502,266
501,264
501,263
502,263
502,263
502,262
502,262
502,262
502,260
503,259
512,252
511,252
513,249
514,245
514,242
513,241
513,241
513,241
513,241
512,241
512,241
512,241
511,243
511,244
511,245
510,245
509,248
509,250
509,250
508,255
507,257
507,256
506,259
505,261
503,265
501,266
495,274
495,274
491,277
490,280
487,283
486,283
483,285
480,287
480,286
477,288
476,286
480,284
479,284
501,255
497,265
503,261
503,260
497,259
494,273
496,282
496,282
498,283
501,278
502,276
509,271
515,267
526,266
534,272
526,319
531,386
532,390
527,392
520,390
516,388
512,386
508,385
510,385
511,385
512,386
512,386
525,375
522,361
518,350
517,350
503,279
504,280
502,271
504,270
504,270
504,270
503,264
503,264
503,263
502,266
503,266
502,267
501,268
501,270
501,270
499,271
499,272
499,272
499,272
498,272
498,272
498,272
498,273
498,273
499,271
498,270
498,270
498,270
497,261
498,260
496,255
494,249
496,229
494,209
350,307
494,186
495,164
492,148
492,144
499,156
