group_id,Time (s),difference
1,Grasp ,
2,Reach ,2.1247448921203613
3,idle,0.06362438201904297
4,Reach ,0.30764007568359375
5,idle,0.20091485977173207
6,Reach ,0.7815816402435267
7,Position,0.4010884761810338
8,Grasp ,0.12490606307983043
9,Move,2.785585165023811
10,Position,0.1256265640258718
11,Move,0.06187605857849121
12,Reach ,1.6861541271209717
13,Grasp ,0.6137363910675049
14,Reach ,0.18804478645324707
15,Grasp ,0.07932257652282715
16,Reach ,0.278766393661499
17,Position,0.6060047149658274
18,Release,0.1865403652191091
19,Grasp ,0.09970426559448953
20,Reach ,0.05077314376831055
21,Grasp ,0.18696951866149902
22,Reach ,0.061250448226921606
23,idle,0.06255078315734863
24,Grasp ,0.18765473365783691
25,Position,0.2027726173400879
26,Move,0.5588431358337402
27,Grasp ,0.062449693679816676
28,Reach ,0.39158105850219016
29,Grasp ,0.1919684410095286
30,Reach ,0.05778717994689231
31,idle,0.32366514205932617
32,Reach ,0.06330585479736328
33,idle,0.06472444534301758
34,Move,0.08272862434387207
35,Reach ,0.0010082721710134024
36,Release,0.32610154151917214
37,Grasp ,0.22273850440979004
38,Reach ,0.49389052391052246
39,idle,0.3102378845214844
40,Position,0.07964491844177246
41,idle,0.0
42,Release,0.12607479095458984
43,Grasp ,0.1223313808441091
44,Move,2.988036632537849
45,Grasp ,0.06030392646789551
46,Position,0.15464544296264648
47,Release,0.06362724304199219
48,Position,0.0854635238647461
49,Grasp ,0.05553841590881348
50,Reach ,0.6200664043426514
51,Grasp ,0.4355189800262451
52,Position,0.40702390670776367
53,Reach ,0.06418848037719727
54,Grasp ,0.07969141006469727
55,Reach ,0.05859208106994629
56,Grasp ,0.0632481575012207
57,Reach ,0.12904739379882812
58,Grasp ,0.08030462265014648
59,Reach ,0.0005047321319509024
60,Grasp ,0.36759185791016336
61,Reach ,0.573117733001709
62,Grasp ,0.08137392997741699
63,Reach ,0.0
64,Position,0.3284306526184082
65,Grasp ,0.07762646675109863
66,Move,2.5507309436798096
67,Grasp ,0.18311834335327148
68,Reach ,0.06230354309082031
69,Release,0.14159035682678223
70,Position,1.477808952331543
71,Release,0.08110857009887695
72,Reach ,1.4490983486175537
73,idle,0.12480735778808594
74,Grasp ,0.14316058158874512
75,Reach ,0.05596590042114258
76,Release,0.06249260902404785
77,Position,0.12462639808654785
78,Reach ,0.46602320671082254
79,Grasp ,0.6859092712402273
80,Move,0.059770822525024414
81,Position,0.06169748306274414
82,Move,0.12707018852233887
83,Position,0.3685939311981201
84,Grasp ,0.061757564544677734
85,Position,0.637152910232544
86,Reach ,0.06716513633728027
87,Grasp ,0.0588383674621582
88,Position,0.3750574588775635
89,Move,0.06181383132935281
90,Grasp ,0.18518686294554954
91,Position,1.0550479888916016
92,Release,0.20759296417236328
93,Reach ,0.0533442497253418
94,Release,0.06473779678344727
95,Position,0.060135602951049805
96,Reach ,0.6216182708740234
97,idle,0.06379985809326172
98,Reach ,0.5586528778076172
99,Position,0.1299729347229004
100,idle,0.054392337799072266
101,Move,0.06515049934387207
102,Grasp ,0.32894086837768555
103,Reach ,0.24711012840270996
104,Grasp ,0.19508004188537598
105,Reach ,0.05595278739929199
106,Grasp ,0.9915714263916016
107,Reach ,1.0762684345245361
108,Grasp ,0.12509608268737793
109,idle,0.0620114803314209
110,Reach ,0.516486644744873
111,idle,0.05872082710266113
112,Reach ,0.06308150291442871
113,Grasp ,0.06134486198425293
114,Reach ,0.25536179542541504
115,idle,0.0777885913848877
116,Reach ,0.1242825984954834
117,Grasp ,0.17995142936706543
118,Reach ,0.2502779960632324
119,Grasp ,0.1863260269165039
120,Move,0.06282758712768555
121,Grasp ,0.1277456283569336
122,Position,1.2286524772644043
123,Grasp ,0.37313055992126465
124,Reach ,0.062496185302734375
125,Grasp ,0.24717235565185547
126,Position,0.37190818786621094
127,Grasp ,0.8764472007751465
128,Reach ,0.11759471893310547
129,idle,0.062364816665649414
130,Grasp ,0.06663751602172852
131,idle,0.0
132,Grasp ,0.41086268424987793
133,idle,0.26032328605651855
134,Reach ,0.3458130359649658
135,idle,0.07243204116821289
136,Reach ,0.12747693061828613
137,Position,0.20273137092590332
138,Reach ,0.05597567558288574
139,Position,0.4985957145690918
140,Grasp ,0.08335280418395996
141,Release,0.4370872974395752
142,Reach ,0.23510098457336426
143,Grasp ,0.05353140830993652
144,Position,0.29930877685546875
145,Move,4.069960117340088
146,Grasp ,0.13160371780395508
147,Position,0.1863265037536621
148,Move,0.06389069557189941
149,Position,0.08468890190124512
150,Grasp ,0.048999786376953125
151,Position,0.12761187553405762
152,Move,0.122283935546875
153,Release,0.06119823455810547
154,Move,0.06535792350769043
155,Reach ,0.05957150459289551
156,Move,0.06420207023620605
157,Grasp ,0.3764324188232422
158,Reach ,0.1215353012084961
159,Grasp ,0.06739258766174316
160,Reach ,0.05890512466430664
161,Grasp ,0.18464350700378418
162,Reach ,0.0666801929473877
163,Grasp ,0.06091451644897461
164,Reach ,0.05756807327270508
165,Grasp ,0.12677812576293945
166,Reach ,1.3020398616790771
167,Release,2.4241955280303955
168,Position,0.18610501289367676
169,Grasp ,23.24891471862793
170,Reach ,0.24285626411436567
171,idle,0.0593090057373189
172,Reach ,0.12348651885986328
173,Grasp ,0.19106793403625488
174,Reach ,0.05983686447144976
175,Grasp ,0.31534934043882856
176,idle,0.05565786361694336
177,Release,0.06380867958070269
178,Position,0.06081366539000044
179,Release,0.2507176399230957
180,idle,0.0629575252532959
181,Reach ,0.0604405403137207
182,Release,0.31099700927734375
183,Reach ,0.06309080123902788
184,Move,0.0680720806121542
185,Reach ,1.4911291599273824
186,Move,0.05911087989805708
187,Reach ,0.0014355182647847187
188,Move,0.06222033500671387
189,Reach ,0.0005040168762207031
190,Grasp ,0.6535909175872803
191,Reach ,0.188629150390625
192,idle,0.5628454685211182
193,Reach ,0.9330205917358398
194,Move,0.08031606674194336
195,Reach ,0.12462735176087847
196,Grasp ,0.31397318840025434
197,Move,0.05988025665281782
198,Grasp ,0.31398892402650347
199,Reach ,0.26875901222230425
200,Grasp ,0.05557990074156294
201,Position,0.06209826469421387
202,Grasp ,0.6164085865020752
203,Release,0.07650351524353027
204,Grasp ,0.0
205,Release,0.05831789970397949
206,Grasp ,1.3260822296142578
207,Reach ,0.34091687202453613
208,idle,0.0799257755279541
209,Release,0.4335799217224121
210,Move,0.13233828544615278
211,Reach ,0.2559812068939209
212,Move,0.1253819465637207
213,Release,0.12641286849975586
214,idle,0.058232545852689555
215,Release,0.06291890144348145
216,idle,0.12894582748411665
217,Release,0.5117270946502828
218,Reach ,0.1221017837524272
219,Release,0.06383013725280762
220,Move,0.24853992462158203
221,Reach ,0.8258416652679301
222,Move,0.39050841331484776
223,Grasp ,0.12073326110839844
224,idle,0.06290864944456587
225,Position,0.3124370574951172
226,Grasp ,0.06173586845397949
227,Reach ,0.058786869049072266
228,idle,0.33914995193482866
229,Release,0.8444759845733643
230,idle,0.2177419662475586
231,Reach ,1.523470401763916
232,Grasp ,0.06482863426208496
233,Reach ,0.12269902229307661
234,Move,0.9661371707916402
235,Position,0.3160867691039897
236,Move,0.05738949775697222
237,Position,0.24737143516539106
238,Move,0.12931632995604048
239,Grasp ,0.06292080879212847
240,Move,0.0
241,idle,0.057021617889390086
242,Move,0.0009989738464497577
243,Reach ,0.0628199577331543
244,Move,0.0009989738464355469
245,Grasp ,0.06397438049316406
246,Move,0.0
247,Release,0.4519639015197612
248,Grasp ,0.14830040931704502
249,Reach ,0.056156158447251414
250,Grasp ,0.11957120895385742
251,Move,1.7497122287750244
252,Reach ,0.12513017654418945
253,Move,0.06278610229492188
254,Reach ,0.059262990951538086
255,Grasp ,1.08172607421875
256,Position,0.1220242977142334
257,Grasp ,0.19166779518127441
258,Move,0.9461596012115479
259,Reach ,0.06682777404785156
260,Grasp ,0.05762028694152832
261,Move,0.06869173049926758
262,Grasp ,0.05843949317932129
263,Move,3.9191331863403036
264,Grasp ,0.06594800949099522
265,Move,0.0010049343108846642
266,Grasp ,0.06091594696047764
267,Move,0.4392361640930176
268,Grasp ,0.12029027938842773
269,Move,0.5892150402069092
270,Reach ,0.0821232795715332
271,Move,0.4778587818145752
272,Grasp ,0.1855013370513916
273,Reach ,0.1272130012512207
274,Grasp ,0.12406325340270996
275,Reach ,0.500006914138794
276,Grasp ,0.3155653476715088
277,Reach ,0.06317543983459473
278,Grasp ,0.06080317497253418
279,Move,0.261305570602417
280,Grasp ,0.3102681636810303
281,Reach ,0.19120454788208008
282,Release,0.059185028076171875
283,Reach ,0.0009992122650146484
284,Release,0.06242489814758301
