Output,Time (S)
Move,0.06666666666666667
Idle,0.16666666666666666
Idle,0.2
Move,0.23333333333333334
Move,0.26666666666666666
Move,0.3
Move,0.3333333333333333
Move,0.36666666666666664
Move,0.4
Move,0.43333333333333335
Move,0.5333333333333333
Move,0.5666666666666667
Move,0.6
Move,0.6333333333333333
Move,0.6666666666666666
Move,0.7
Move,0.7333333333333333
Grasp ,0.7666666666666667
Move,0.8
Move,0.8333333333333334
Move,0.8666666666666667
Move,0.9
Move,0.9333333333333333
Move,0.9666666666666667
Move,1.0
Move,1.0333333333333334
Move,1.0666666666666667
Move,1.1
Move,1.1333333333333333
Grasp ,1.1333333333333333
Move,1.1666666666666667
Move,1.1666666666666667
Move,1.2
Move,1.2
Move,1.2333333333333334
Move,1.2333333333333334
Grasp ,1.2666666666666666
Grasp ,1.3
Grasp ,1.3333333333333333
Move,1.3666666666666667
Move,1.4
Move,1.4333333333333333
Move,1.4666666666666666
Move,1.5
Move,1.5333333333333334
Move,1.5666666666666667
Grasp ,1.6
Grasp ,1.6333333333333333
Move,1.6666666666666667
Move,1.7
Grasp ,1.7333333333333334
Grasp ,1.7666666666666666
Grasp ,1.8
Grasp ,1.8333333333333333
Grasp ,1.8666666666666667
Grasp ,1.9
Grasp ,1.9333333333333333
Grasp ,1.9666666666666666
Grasp ,2.0
Move,2.033333333333333
Move,2.066666666666667
Move,2.1
Move,2.1333333333333333
Move,2.1666666666666665
Grasp ,2.2
Grasp ,2.2333333333333334
Move,2.2666666666666666
Grasp ,2.3
Grasp ,2.3333333333333335
Grasp ,2.3666666666666667
Grasp ,2.4
Grasp ,2.433333333333333
Grasp ,2.466666666666667
Grasp ,2.5
Move,2.533333333333333
Grasp ,2.566666666666667
Move,2.6
Move,2.6333333333333333
Move,2.6666666666666665
Move,2.7
Move,2.7333333333333334
Move,2.7666666666666666
Move,2.8
Move,2.8333333333333335
Move,2.8666666666666667
Move,2.9
Move,2.933333333333333
Move,2.966666666666667
Move,3.0
Move,3.033333333333333
Move,3.066666666666667
Move,3.1
Grasp ,3.1333333333333333
Grasp ,3.1666666666666665
Grasp ,3.2
Grasp ,3.2333333333333334
Grasp ,3.2666666666666666
Grasp ,3.3
Position,3.3333333333333335
Position,3.3666666666666667
Position,3.4
Grasp ,3.433333333333333
Position,3.466666666666667
Position,3.5
Position,3.533333333333333
Position,3.566666666666667
Grasp ,3.6
Position,3.6333333333333333
Grasp ,3.6666666666666665
Position,3.7
Position,3.7333333333333334
Grasp ,3.7666666666666666
Grasp ,3.8
Position,3.8333333333333335
Position,3.8666666666666667
Position,3.9
Position,3.933333333333333
Position,3.966666666666667
Position,4.0
Position,4.033333333333333
Position,4.066666666666666
Position,4.1
Position,4.133333333333334
Position,4.166666666666667
Position,4.2
Grasp ,4.233333333333333
Position,4.266666666666667
Grasp ,4.3
Grasp ,4.333333333333333
Position,4.366666666666666
Position,4.4
Position,4.433333333333334
Position,4.466666666666667
Position,4.5
Position,4.533333333333333
Position,4.566666666666666
Position,4.6
Position,4.633333333333334
Position,4.666666666666667
Position,4.7
Position,4.733333333333333
Grasp ,4.766666666666667
Grasp ,4.8
Position,4.833333333333333
Position,4.866666666666666
Position,4.9
Position,4.933333333333334
Position,4.966666666666667
Grasp ,5.0
Grasp ,5.033333333333333
Grasp ,5.066666666666666
Grasp ,5.1
Grasp ,5.133333333333334
Grasp ,5.166666666666667
Grasp ,5.2
Grasp ,5.233333333333333
Grasp ,5.266666666666667
Grasp ,5.3
Grasp ,5.333333333333333
Grasp ,5.366666666666666
Grasp ,5.4
Grasp ,5.433333333333334
Grasp ,5.466666666666667
Grasp ,5.5
Grasp ,5.533333333333333
Grasp ,5.566666666666666
Position,5.6
Position,5.633333333333334
Position,5.666666666666667
Position,5.7
Position,5.733333333333333
Position,5.766666666666667
Position,5.8
Position,5.833333333333333
Position,5.866666666666666
Move,5.933333333333334
Move,5.966666666666667
Move,6.0
Move,6.033333333333333
Move,6.066666666666666
Move,6.1
Move,6.133333333333334
Move,6.166666666666667
Move,6.2
Move,6.233333333333333
Move,6.266666666666667
Position,6.5
Position,6.533333333333333
Position,6.566666666666666
Position,6.6
Idle,6.633333333333334
Position,6.666666666666667
Position,6.7
Position,6.733333333333333
Position,6.766666666666667
Grasp ,6.8
Move,6.833333333333333
Move,6.866666666666666
Move,6.9
Move,6.933333333333334
Move,6.966666666666667
Move,7.0
Move,7.033333333333333
Move,7.066666666666666
Move,7.1
Move,7.133333333333334
Move,7.166666666666667
Move,7.2
Move,7.233333333333333
Move,7.266666666666667
Move,7.3
Move,7.333333333333333
Idle,7.4
Idle,7.433333333333334
Idle,7.466666666666667
Move,7.566666666666666
Move,7.6
Move,7.633333333333334
Move,7.666666666666667
Move,7.7
Position,7.733333333333333
Move,7.766666666666667
Move,7.8
Position,7.833333333333333
Grasp ,7.866666666666666
Grasp ,7.9
Grasp ,7.933333333333334
Grasp ,7.966666666666667
Move,8.0
Move,8.033333333333333
Move,8.066666666666666
Move,8.1
Move,8.133333333333333
Move,8.166666666666666
Move,8.2
Move,8.233333333333333
Move,8.266666666666667
Move,8.3
Release,8.333333333333334
Release,8.366666666666667
Release,8.4
Release,8.433333333333334
Move,8.466666666666667
Grasp ,8.566666666666666
Move,8.6
Move,8.633333333333333
Grasp ,8.666666666666666
Grasp ,8.7
Grasp ,8.733333333333333
Grasp ,8.766666666666667
Grasp ,8.8
Position,8.833333333333334
Position,8.866666666666667
Position,8.9
Position,8.933333333333334
Position,8.966666666666667
Position,9.0
Position,9.033333333333333
Move,9.066666666666666
Grasp ,9.066666666666666
Move,9.1
Position,9.1
Move,9.133333333333333
Grasp ,9.133333333333333
Grasp ,9.166666666666666
Grasp ,9.2
Move,9.233333333333333
Grasp ,9.233333333333333
Grasp ,9.266666666666667
Grasp ,9.3
Move,9.333333333333334
Grasp ,9.366666666666667
Reach ,9.4
Position,9.433333333333334
Move,9.466666666666667
Position,9.466666666666667
Position,9.5
Position,9.533333333333333
Position,9.566666666666666
Position,9.6
Grasp ,9.633333333333333
Grasp ,9.666666666666666
Grasp ,9.7
Reach ,9.733333333333333
Reach ,9.766666666666667
Move,9.8
Move,9.833333333333334
Move,9.866666666666667
Move,9.9
Move,9.933333333333334
Release,9.966666666666667
Move,10.0
Move,10.033333333333333
Move,10.066666666666666
Move,10.1
Move,10.133333333333333
Move,10.166666666666666
Move,10.2
Move,10.233333333333333
Grasp ,10.266666666666667
Position,10.3
Position,10.333333333333334
Grasp ,10.366666666666667
Position,10.4
Grasp ,10.4
Position,10.433333333333334
Position,10.466666666666667
Position,10.5
Position,10.533333333333333
Position,10.566666666666666
Position,10.6
Position,10.633333333333333
Position,10.766666666666667
Position,10.8
Position,10.833333333333334
Position,10.866666666666667
Grasp ,10.9
Move,10.933333333333334
Grasp ,10.966666666666667
Position,11.0
Position,11.033333333333333
Grasp ,11.066666666666666
Move,11.1
Move,11.2
Move,11.233333333333333
Move,11.333333333333334
Move,11.366666666666667
Move,11.4
Move,11.433333333333334
Move,11.466666666666667
Move,11.5
Move,11.533333333333333
Move,11.566666666666666
Move,11.6
Move,11.633333333333333
Move,11.666666666666666
Move,11.7
Move,11.733333333333333
Move,11.766666666666667
Move,11.8
Move,11.833333333333334
Move,11.866666666666667
Move,11.9
Move,11.933333333333334
Move,11.966666666666667
Move,12.0
Move,12.033333333333333
Move,12.066666666666666
Move,12.1
Move,12.133333333333333
Move,12.166666666666666
Move,12.2
Move,12.233333333333333
Move,12.266666666666667
Move,12.3
Move,12.333333333333334
Move,12.366666666666667
Move,12.4
Move,12.433333333333334
Move,12.466666666666667
Move,12.5
Move,12.533333333333333
Move,12.566666666666666
Move,12.6
Move,12.633333333333333
Move,12.666666666666666
Move,12.7
Move,12.733333333333333
Move,12.766666666666667
Move,12.8
Move,12.833333333333334
Move,12.866666666666667
Move,12.9
Move,12.933333333333334
Move,12.966666666666667
Move,13.0
Grasp ,13.033333333333333
Grasp ,13.066666666666666
Grasp ,13.1
Grasp ,13.133333333333333
Grasp ,13.166666666666666
Grasp ,13.2
Grasp ,13.233333333333333
Grasp ,13.266666666666667
Grasp ,13.3
Grasp ,13.333333333333334
Grasp ,13.366666666666667
Move,13.4
Grasp ,13.433333333333334
Move,13.466666666666667
Move,13.5
Move,13.533333333333333
Move,13.566666666666666
Move,13.6
Move,13.633333333333333
Move,13.666666666666666
Move,13.7
Move,13.733333333333333
Move,13.766666666666667
Move,13.8
Move,13.833333333333334
Move,13.866666666666667
Grasp ,13.9
Grasp ,13.933333333333334
Grasp ,13.966666666666667
Position,14.0
Position,14.033333333333333
Position,14.066666666666666
Idle,14.1
Release,14.133333333333333
Idle,14.166666666666666
Position,14.2
Position,14.233333333333333
Position,14.266666666666667
Position,14.3
Position,14.333333333333334
Position,14.366666666666667
Position,14.4
Position,14.433333333333334
Position,14.466666666666667
Position,14.5
Position,14.533333333333333
Position,14.566666666666666
Position,14.6
Position,14.633333333333333
Position,14.666666666666666
Position,14.7
Position,14.733333333333333
Position,14.766666666666667
