Time (s),Output
1.7041430473327637,Position
1.833827018737793,Grasp 
1.8845939636230469,Grasp 
1.9447340965270996,Grasp 
1.9855945110321045,Grasp 
2.0336408615112305,Grasp 
2.0807650089263916,Grasp 
2.126300573348999,Grasp 
2.1756479740142822,Grasp 
2.2308764457702637,Grasp 
2.3018999099731445,Grasp 
2.3526620864868164,Move
2.417738676071167,Grasp 
2.475064277648926,Grasp 
2.5197012424468994,Grasp 
2.568601369857788,Move
2.6208417415618896,Move
2.6834511756896973,Grasp 
2.737727165222168,Move
2.788621187210083,Move
2.831139087677002,Move
2.8835971355438232,Move
2.9271650314331055,Move
2.977450370788574,Move
3.0252532958984375,Move
3.070979595184326,Grasp 
3.13314151763916,Grasp 
3.1881518363952637,Grasp 
3.2351486682891846,Move
3.2828078269958496,Grasp 
3.3349454402923584,Grasp 
3.3759074211120605,Move
3.4199390411376953,Grasp 
3.4680893421173096,Grasp 
3.5181355476379395,Grasp 
3.5618839263916016,Grasp 
3.6080403327941895,Grasp 
3.6537277698516846,Grasp 
3.700582265853882,Grasp 
3.752774953842163,Grasp 
3.799647569656372,Grasp 
3.842531442642212,Grasp 
3.8893463611602783,Grasp 
3.9360060691833496,Move
3.985990524291992,Grasp 
4.033787965774536,Move
4.075216770172119,Grasp 
4.12294864654541,Grasp 
4.170677661895752,Move
4.219438076019287,Grasp 
4.267164468765259,Move
4.312563896179199,Move
4.35764741897583,Grasp 
4.404904127120972,Move
4.454669952392578,Move
4.502037763595581,Grasp 
4.546526908874512,Move
4.592135906219482,Grasp 
4.636023044586182,Grasp 
4.6862952709198,Grasp 
4.732954978942871,Grasp 
4.777239561080933,Move
4.826201438903809,Move
4.872710943222046,Move
4.919836759567261,Grasp 
4.965682506561279,Grasp 
5.081638336181641,Position
5.123827219009399,Position
5.172854661941528,Position
5.217614650726318,Position
5.262485980987549,Position
5.310421705245972,Position
5.3586344718933105,Position
5.639279842376709,Position
5.68342924118042,Position
5.775677919387817,Position
6.060299634933472,ide
6.177837133407593,Move
6.216000080108643,Move
6.260746717453003,Move
6.312516212463379,Move
6.356869697570801,Move
6.4018638134002686,Move
6.447904825210571,Move
6.498409032821655,Move
6.5455238819122314,Move
6.593755006790161,Move
6.6348090171813965,Move
6.680131912231445,Move
6.731055974960327,Move
6.776700735092163,Move
6.82616400718689,Move
6.871256351470947,Move
6.916139841079712,Move
6.966156721115112,Move
7.0153021812438965,Move
7.060088872909546,Move
7.103479385375977,Move
7.150501489639282,Move
7.195936679840088,Move
7.2429399490356445,Move
7.290672302246094,Move
7.337663173675537,Move
7.383880615234375,Move
7.4329540729522705,Move
7.482573747634888,Move
7.527925252914429,Move
7.573158264160156,Move
7.620745420455933,Move
7.666156053543091,Move
7.714714050292969,Move
7.762134075164795,Grasp 
7.806919097900391,Move
7.854722261428833,Grasp 
7.898833990097046,Move
7.946936368942261,Move
7.997281074523926,Move
8.038987636566162,Move
8.09077262878418,Move
8.13391375541687,Move
8.187098741531372,Move
8.228548765182495,Move
8.276275873184204,Move
8.320144176483154,Move
8.366438865661621,Move
8.415019273757935,Move
8.462790250778198,Move
8.507733583450317,Move
8.555094718933105,Grasp 
8.59910798072815,Move
8.64706802368164,Grasp 
8.696131229400635,Grasp 
8.741477966308594,Grasp 
8.788326025009155,Grasp 
8.835613489151001,Grasp 
8.884662389755249,Grasp 
8.931648969650269,Grasp 
8.973359107971191,Grasp 
9.019793033599854,Grasp 
9.067279577255249,Grasp 
9.116838932037354,Grasp 
9.161763906478882,Grasp 
9.20821475982666,Grasp 
9.252656698226929,Grasp 
9.300984859466553,Grasp 
9.349671840667725,Grasp 
9.403654098510742,Grasp 
9.441686868667603,Grasp 
9.88318657875061,Grasp 
9.924919843673706,Grasp 
9.974156379699707,Grasp 
10.020537614822388,Grasp 
10.065480470657349,Grasp 
10.119138240814209,Move
10.163099765777588,Grasp 
10.207053661346436,Grasp 
10.255581617355347,Grasp 
10.300601959228516,Grasp 
10.351084232330322,Grasp 
10.398084163665771,Grasp 
10.443798542022705,Grasp 
10.488095998764038,Grasp 
10.534292936325073,Grasp 
10.583293199539185,Grasp 
10.631528377532959,Grasp 
10.674936532974243,Grasp 
10.723160028457642,Grasp 
10.769250869750977,Grasp 
10.82069206237793,Move
10.865576982498169,Move
10.91210412979126,Move
10.959582328796387,Move
11.540032148361206,Realese
11.584669589996338,Grasp 
11.631454467773438,Grasp 
11.678167581558228,Position
11.724620580673218,Grasp 
11.773669004440308,Grasp 
11.823425531387329,Reach 
11.863764762878418,Position
11.91853952407837,Position
11.965290307998657,Position
12.012579441070557,Position
12.061395406723022,Position
12.110611915588379,Position
12.16080093383789,Position
12.22243857383728,Position
12.281598329544067,ide
12.336503505706787,Position
12.38509202003479,Realese
12.431300401687622,Position
13.113736629486084,Move
13.180984258651733,Move
